family,variant,seed_42,seed_2,seed_3,mean,std_across_training_seeds,mean_paired_delta_vs_baseline,std_paired_delta_vs_baseline
baseline,Vanilla DQN,12.8,14.8,10.7,12.766666666666667,2.0502032419575715,0.0,0.0
ddqn,Double DQN,17.6,16.25,13.8,15.883333333333335,1.9263523388345483,3.116666666666667,1.6750621879002987
Epsilon,Lineare,12.8,14.7,6.95,11.483333333333334,4.039286240579309,-1.2833333333333334,2.136781068180203
Epsilon,Esponenziale,17.1,13.75,13.8,14.883333333333335,1.919852424884094,2.116666666666667,2.807282196953726
Epsilon,Costante 0.10,-2.2,14.2,13.1,8.366666666666667,9.167515112250065,-4.4,9.301612763386787
Rally,Piccolo,15.35,12.15,13.2,13.566666666666666,1.6312060977489424,0.7999999999999995,2.9878922336657325
Rally,Moderato,16.1,15.15,14.3,15.183333333333334,0.9004628439493403,2.4166666666666674,1.7960605038064104
Rally,Aggressivo,16.7,-21.0,7.5,1.0666666666666664,19.65612711938273,-11.7,21.170970691019342
PBRS,0.02,12.95,14.6,15.45,14.333333333333332,1.2711543310445563,1.5666666666666658,2.7623963027294502
PBRS,0.10,16.05,13.45,15.75,15.083333333333334,1.4224392195567919,2.3166666666666664,3.3005050118630845
PBRS,0.50,15.5,16.65,17.1,16.416666666666668,0.8251262529657712,3.65,2.419194080680591
Contact,0.02,8.2,13.95,14.55,12.233333333333333,3.505828480307235,-0.5333333333333338,4.233891039378948
Contact,0.10,16.25,15.15,12.3,14.566666666666666,2.0385861113363184,1.8,1.5596473960482218
Contact,0.50,6.95,-21.0,6.8,-2.4166666666666665,16.093813511201542,-15.183333333333332,17.88115861272231
