family,variant,final_mean,final_std_across_training_seeds,seed_42,seed_2,seed_3
epsilon,Lineare,11.483333333333334,4.039286240579309,12.8,14.7,6.95
epsilon,Esponenziale,14.883333333333335,1.919852424884094,17.1,13.75,13.8
epsilon,Costante 0.10,8.366666666666667,9.167515112250065,-2.2,14.2,13.1
rally,Piccolo,13.566666666666668,1.6312060977489424,15.35,12.15,13.2
rally,Moderato,15.183333333333332,0.9004628439493403,16.1,15.15,14.3
rally,Aggressivo,1.0666666666666664,19.65612711938273,16.7,-21.0,7.5
potential,$\kappa=0.02$,14.333333333333334,1.2711543310445563,12.95,14.6,15.45
potential,$\kappa=0.10$,15.083333333333334,1.4224392195567919,16.05,13.45,15.75
potential,$\kappa=0.50$,16.416666666666668,0.8251262529657712,15.5,16.65,17.1
contact,$c=0.02$,12.233333333333334,3.5058284803072346,8.2,13.95,14.55
contact,$c=0.10$,14.566666666666668,2.0385861113363184,16.25,15.15,12.3
contact,$c=0.50$,-2.416666666666667,16.093813511201542,6.95,-21.0,6.8
